action,total_yield,cash,trades,parameters,global
ACGL,"1,10363818525",1103.6381852499999,"{'2023-11-01': {'gain': 1.10363819, 'date': datetime.date(2023, 10, 27), 'type': 'TP'}}","[{'TP': 0.1, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.26, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.26, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.26, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.26, 'before_earning': 3, 'further_day': 5}, {'TP': 0.06, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.06, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.06, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.06, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.06, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.06, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.06, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.06, 'note': 0.26, 'before_earning': 3, 'further_day': 5}, {'TP': 0.05, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.05, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.05, 'note': 0.24, 'before_earning': 3, 'further_day': 3}, {'TP': 0.05, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.05, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.05, 'note': 0.24, 'before_earning': 3, 'further_day': 5}, {'TP': 0.05, 'note': 0.26, 'before_earning': 3, 'further_day': 3}, {'TP': 0.05, 'note': 0.26, 'before_earning': 3, 'further_day': 5}]","{'trade': 1, 'duree': 5, 'plus': 1, 'yield': 1.10363819}"
ACGL,,,,,
ACGL,,,,,
ACHC,,,,,
ACHC,,,,,
ACHC,,,,,
ACHC,,,,,
ACHC,,,,,
ACHC,,,,,
ACHL,,,,,
